time, event, cpu_id, process_id, execution_time, start_deadline, end_deadline, total_waiting_time, score,count_of_expire, count of misses, total_score
22916,created,442446,442446,4,22918,22921,16,0,0,0,0
22916,picked,1,442446,4,22918,22921,16,0,0,0,0
22916,executing,1,442446,4,22918,22921,16,0,0,0,16
22916,created,451278,451278,1,22918,22921,37,0,0,0,16
22916,picked,2,451278,1,22918,22921,37,0,0,0,16
22916,executing,2,451278,1,22918,22921,37,0,0,0,53
22917,created,876071,876071,2,22921,22924,30,0,0,0,53
22917,picked,0,876071,2,22921,22924,30,0,0,0,53
22917,executing,0,876071,2,22921,22924,30,0,0,0,83
22917,created,62752,62752,3,22918,22921,24,0,0,0,83
22917,finished,2,451278,1,22918,22921,37,0,0,0,83
22917,picked,2,62752,3,22918,22921,24,0,0,0,83
22917,executing,2,62752,3,22918,22921,24,0,0,0,107
22918,created,922417,922417,3,22922,22927,68,0,0,0,107
22918,created,282817,282817,4,22920,22922,43,0,0,0,107
22919,created,841588,841588,10,22923,22925,20,0,0,0,107
22919,finished,0,876071,2,22921,22924,30,0,0,0,107
22919,picked,0,922417,3,22922,22927,68,0,0,0,107
22919,executing,0,922417,3,22922,22927,68,1,0,0,175
22919,created,515701,515701,6,22920,22924,27,1,0,0,175
22920,created,238822,238822,2,22921,22923,74,1,0,0,175
22920,finished,1,442446,4,22918,22921,16,1,0,0,175
22920,picked,1,238822,2,22921,22923,74,1,0,0,175
22920,executing,1,238822,2,22921,22923,74,1,0,0,249
22920,created,856335,856335,6,22921,22926,28,1,0,0,249
22920,finished,2,62752,3,22918,22921,24,1,0,0,249
22920,picked,2,282817,4,22920,22922,43,1,0,0,249
22920,executing,2,282817,4,22920,22922,43,3,0,0,292
22921,created,384253,384253,4,22924,22929,96,3,0,0,292
22921,created,251011,251011,3,22922,22927,68,3,0,0,292
22922,finished,0,922417,3,22922,22927,68,3,0,0,292
22922,picked,0,384253,4,22924,22929,96,3,0,0,292
22922,executing,0,384253,4,22924,22929,96,4,0,0,388
22922,created,37927,37927,8,22926,22928,79,4,0,0,388
22922,finished,1,238822,2,22921,22923,74,4,0,0,388
22922,picked,1,37927,8,22926,22928,79,4,0,0,388
22922,executing,1,37927,8,22926,22928,79,4,0,0,467
22922,created,462034,462034,5,22927,22930,61,4,0,0,467
22923,created,209155,209155,7,22927,22932,13,4,0,0,467
22923,created,312290,312290,7,22925,22930,40,4,0,0,467
22924,created,156287,156287,6,22925,22930,79,4,0,0,467
22924,finished,2,282817,4,22920,22922,43,4,0,0,467
22924,picked,2,156287,6,22925,22930,79,4,0,0,467
22924,executing,2,156287,6,22925,22930,79,4,0,0,546
22924,created,938451,938451,8,22927,22930,57,4,0,0,546
22925,created,108549,108549,2,22926,22928,42,4,0,0,546
22925,created,888565,888565,6,22930,22935,20,4,0,0,546
22926,finished,0,384253,4,22924,22929,96,4,0,0,546
22926,missed,-1,251011,3,22922,22927,68,4,0,0,546
22926,picked,0,462034,5,22927,22930,61,4,1,1,546
22926,executing,0,462034,5,22927,22930,61,8,1,1,607
22930,finished,1,37927,8,22926,22928,79,8,1,1,607
22930,missed,-1,938451,8,22927,22930,57,8,1,1,607
22930,missed,-1,312290,7,22925,22930,40,8,2,2,607
22930,missed,-1,856335,6,22921,22926,28,8,3,3,607
22930,missed,-1,515701,6,22920,22924,27,8,4,4,607
22930,picked,1,888565,6,22930,22935,20,8,5,5,607
22930,executing,1,888565,6,22930,22935,20,13,5,5,627
22930,finished,2,156287,6,22925,22930,79,13,5,5,627
22930,missed,-1,108549,2,22926,22928,42,13,5,5,627
22930,missed,-1,841588,10,22923,22925,20,13,6,6,627
22930,missed,-1,209155,7,22927,22932,13,13,7,7,627
22931,finished,0,462034,5,22927,22930,61,13,8,8,627
22936,finished,1,888565,6,22930,22935,20,13,8,8,627
